Date,Route,Riders,Month,Year,Fiscal Year
3/1/2022,START On-Demand,14624,3,2022,2022
4/1/2022,START On-Demand,6550,4,2022,2022
5/1/2022,START On-Demand,6399,5,2022,2022
6/1/2022,START On-Demand,7023,6,2022,2022
7/1/2022,START On-Demand,10066,7,2022,2023
8/1/2022,START On-Demand,10347,8,2022,2023
9/1/2022,START On-Demand,9786,9,2022,2023
10/1/2022,START On-Demand,7411,10,2022,2023
11/1/2022,START On-Demand,7076,11,2022,2023
12/1/2022,START On-Demand,20538,12,2022,2023
1/1/2023,START On-Demand,24979,1,2023,2023
2/1/2023,START On-Demand,22813,2,2023,2023
3/1/2023,START On-Demand,21511,3,2023,2023
4/1/2023,START On-Demand,9266,4,2023,2023
5/1/2023,START On-Demand,9324,5,2023,2023
6/1/2023,START On-Demand,12605,6,2023,2023
7/1/2023,START On-Demand,17170,7,2023,2024
8/1/2023,START On-Demand,14533,8,2023,2024
9/1/2023,START On-Demand,11741,9,2023,2024
10/1/2023,START On-Demand,8389,10,2023,2024
11/1/2023,START On-Demand,7333,11,2023,2024
12/1/2023,START On-Demand,19078,12,2023,2024
1/1/2024,START On-Demand,21777,1,2024,2024
2/1/2024,START On-Demand,20922,2,2024,2024
3/1/2024,START On-Demand,10544,3,2024,2024
4/1/2024,START On-Demand,10844,4,2024,2024
5/1/2024,START On-Demand,10538,5,2024,2024
6/1/2024,START On-Demand,13686,6,2024,2024
1/1/2019,Teton Valley,3646,1,2019,2019
2/1/2019,Teton Valley,2240,2,2019,2019
3/1/2019,Teton Valley,2739,3,2019,2019
4/1/2019,Teton Valley,2211,4,2019,2019
5/1/2019,Teton Valley,2168,5,2019,2019
6/1/2019,Teton Valley,2682,6,2019,2019
7/1/2019,Teton Valley,3225,7,2019,2020
8/1/2019,Teton Valley,1837,8,2019,2020
9/1/2019,Teton Valley,3323,9,2019,2020
10/1/2019,Teton Valley,3312,10,2019,2020
11/1/2019,Teton Valley,3449,11,2019,2020
12/1/2019,Teton Valley,3243,12,2019,2020
1/1/2020,Teton Valley,3827,1,2020,2020
2/1/2020,Teton Valley,3290,2,2020,2020
3/1/2020,Teton Valley,2162,3,2020,2020
4/1/2020,Teton Valley,653,4,2020,2020
5/1/2020,Teton Valley,813,5,2020,2020
6/1/2020,Teton Valley,1250,6,2020,2020
7/1/2020,Teton Valley,1466,7,2020,2021
8/1/2020,Teton Valley,1482,8,2020,2021
9/1/2020,Teton Valley,1648,9,2020,2021
10/1/2020,Teton Valley,1632,10,2020,2021
11/1/2020,Teton Valley,1462,11,2020,2021
12/1/2020,Teton Valley,1476,12,2020,2021
1/1/2021,Teton Valley,1800,1,2021,2021
2/1/2021,Teton Valley,1754,2,2021,2021
3/1/2021,Teton Valley,2087,3,2021,2021
4/1/2021,Teton Valley,1628,4,2021,2021
5/1/2021,Teton Valley,1745,5,2021,2021
6/1/2021,Teton Valley,1827,6,2021,2021
7/1/2021,Teton Valley,1541,7,2021,2022
8/1/2021,Teton Valley,1633,8,2021,2022
9/1/2021,Teton Valley,1893,9,2021,2022
10/1/2021,Teton Valley,1866,10,2021,2022
11/1/2021,Teton Valley,1343,11,2021,2022
12/1/2021,Teton Valley,1989,12,2021,2022
1/1/2022,Teton Valley,2104,1,2022,2022
2/1/2022,Teton Valley,2011,2,2022,2022
3/1/2022,Teton Valley,1983,3,2022,2022
4/1/2022,Teton Valley,1781,4,2022,2022
5/1/2022,Teton Valley,1871,5,2022,2022
6/1/2022,Teton Valley,2097,6,2022,2022
7/1/2022,Teton Valley,2116,7,2022,2023
8/1/2022,Teton Valley,2434,8,2022,2023
9/1/2022,Teton Valley,2418,9,2022,2023
10/1/2022,Teton Valley,1890,10,2022,2023
11/1/2022,Teton Valley,2194,11,2022,2023
12/1/2022,Teton Valley,2353,12,2022,2023
1/1/2023,Teton Valley,2446,1,2023,2023
2/1/2023,Teton Valley,2203,2,2023,2023
3/1/2023,Teton Valley,2544,3,2023,2023
4/1/2023,Teton Valley,2035,4,2023,2023
5/1/2023,Teton Valley,2409,5,2023,2023
6/1/2023,Teton Valley,2408,6,2023,2023
7/1/2023,Teton Valley,2321,7,2023,2024
8/1/2023,Teton Valley,2290,8,2023,2024
9/1/2023,Teton Valley,2257,9,2023,2024
10/1/2023,Teton Valley,2561,10,2023,2024
11/1/2023,Teton Valley,2363,11,2023,2024
12/1/2023,Teton Valley,1906,12,2023,2024
1/1/2024,Teton Valley,2371,1,2024,2024
2/1/2024,Teton Valley,2511,2,2024,2024
3/1/2024,Teton Valley,2086,3,2024,2024
4/1/2024,Teton Valley,2404,4,2024,2024
5/1/2024,Teton Valley,2426,5,2024,2024
6/1/2024,Teton Valley,1969,6,2024,2024
1/1/2019,Teton Village,111186,1,2019,2019
2/1/2019,Teton Village,106701,2,2019,2019
3/1/2019,Teton Village,100310,3,2019,2019
4/1/2019,Teton Village,19896,4,2019,2019
5/1/2019,Teton Village,6478,5,2019,2019
6/1/2019,Teton Village,16765,6,2019,2019
7/1/2019,Teton Village,23259,7,2019,2020
8/1/2019,Teton Village,28611,8,2019,2020
9/1/2019,Teton Village,25540,9,2019,2020
10/1/2019,Teton Village,8445,10,2019,2020
11/1/2019,Teton Village,7392,11,2019,2020
12/1/2019,Teton Village,79182,12,2019,2020
1/1/2020,Teton Village,102344,1,2020,2020
2/1/2020,Teton Village,107867,2,2020,2020
3/1/2020,Teton Village,52602,3,2020,2020
4/1/2020,Teton Village,289,4,2020,2020
5/1/2020,Teton Village,510,5,2020,2020
6/1/2020,Teton Village,2276,6,2020,2020
7/1/2020,Teton Village,4973,7,2020,2021
8/1/2020,Teton Village,5830,8,2020,2021
9/1/2020,Teton Village,4788,9,2020,2021
10/1/2020,Teton Village,2901,10,2020,2021
11/1/2020,Teton Village,4308,11,2020,2021
12/1/2020,Teton Village,37900,12,2020,2021
