pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,9,13,43.477362558390226,-110.76968715622411,2024-06-01,9,16,43.48365073661516,-110.75979877136818,1607,225,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,21,43.47376931369026,-110.7560906270472,2024-06-01,9,25,43.471074380165284,-110.77957554108005,1932,216,3,No,Rider App,On-Demand,On-Demand
2024-06-01,9,21,43.47376931369026,-110.7560906270472,2024-06-01,9,25,43.4800574919152,-110.76597901190314,1526,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,22,43.48454904779015,-110.76350691568915,2024-06-01,9,25,43.479159180740204,-110.76350691568915,799,130,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,28,43.487243981315125,-110.76227086758216,2024-06-01,9,37,43.47826086956522,-110.76350691568915,1069,545,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,29,43.47197269134028,-110.76474296379615,2024-06-01,9,32,43.4800574919152,-110.76103481947517,1217,197,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,30,43.48275242544017,-110.76227086758216,2024-06-01,9,33,43.479159180740204,-110.76968715622411,1142,179,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,35,43.47556593604024,-110.76474296379615,2024-06-01,9,39,43.471074380165284,-110.77957554108005,1541,204,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,37,43.474667624865255,-110.75361853083321,2024-06-01,9,48,43.4800574919152,-110.76103481947517,1414,675,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,40,43.477362558390226,-110.76721506001013,2024-06-01,9,46,43.47646424721523,-110.74373014597728,2429,355,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,9,40,43.479159180740204,-110.76597901190314,2024-06-01,9,44,43.47287100251527,-110.75732667515419,1491,206,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,9,44,43.474667624865255,-110.76597901190314,2024-06-01,9,48,43.48275242544017,-110.75856272326118,1359,228,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,47,43.47556593604024,-110.74373014597728,2024-06-01,9,51,43.47376931369026,-110.7560906270472,1770,250,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,48,43.47287100251527,-110.77092320433111,2024-06-01,9,50,43.4800574919152,-110.76474296379615,1269,161,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,52,43.48814229249012,-110.76350691568915,2024-06-01,10,0,43.47287100251527,-110.75238248272622,2795,447,1,No,Rider App,On-Demand,On-Demand
2024-06-01,9,54,43.47376931369026,-110.75856272326118,2024-06-01,9,58,43.47646424721523,-110.76597901190314,886,240,2,No,Rider App,On-Demand,On-Demand
2024-06-01,9,54,43.47287100251527,-110.75732667515419,2024-06-01,9,58,43.479159180740204,-110.76597901190314,1311,202,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,10,5,43.47646424721523,-110.74620224219126,2024-06-01,10,15,43.479159180740204,-110.76350691568915,1844,589,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,9,43.47646424721523,-110.74249409787028,2024-06-01,10,13,43.4800574919152,-110.76103481947517,1937,249,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,12,43.474667624865255,-110.76597901190314,2024-06-01,10,17,43.4800574919152,-110.76103481947517,1259,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,13,43.47646424721523,-110.74496619408427,2024-06-01,10,17,43.4800574919152,-110.76597901190314,2192,295,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,18,43.47376931369026,-110.7560906270472,2024-06-01,10,23,43.471074380165284,-110.77957554108005,1932,295,2,No,Rider App,On-Demand,On-Demand
2024-06-01,10,21,43.477362558390226,-110.76968715622411,2024-06-01,10,24,43.47826086956522,-110.76227086758216,843,171,1,No,Rider App,On-Demand,On-Demand
